link,titulo,texto
/br/content/reitor-e-presidente-lula-assinam-projeto-piloto-de-compra-de-pescado-artesanal-para,Reitor e presidente Lula assinam projeto piloto de compra de pescado artesanal para Restaurante...,
/br/content/ufrpe-divulga-orienta%C3%A7%C3%B5es-%C3%A0-comunidade-universidade-acerca-das-chuvas-desta-ter%C3%A7a-2103,UFRPE divulga orientações à comunidade universidade acerca das chuvas desta terça (21/03),"A partir das chuvas registradas na manhã desta terça-feira (21/03), na Região Metropolitana do Recife, com possibilidade de intensidade - conforme alerta emitido pela Agência Pernambucana de Águas e Clima (Apac), a UFRPE comunica à comunidade universitária que não haverá prejuízo a estudantes e/ou servidore(a)s docentes e técnico(a)s em casos de dificuldades de mobilidade."
/br/content/chamamento-para-novoas-integrantes-do-conselho-de-usu%C3%A1rios-da-ufrpe,Chamamento para novo(a)s integrantes do Conselho de Usuários da UFRPE,"A Universidade Federal Rural de Pernambuco (UFRPE) realiza chamamento para inscrição voluntária de novos conselheiros para compor o Conselho de Usuários da UFRPE, que tem como objetivo garantir uma nova forma de participação direta da sociedade na avaliação e melhoria dos serviços públicos prestados pela universidade, conectando os usuários aos gestores responsáveis pelo serviço."
/br/content/ufrpe-tem-nova-pr%C3%B3-reitora-de-ensino-de-gradua%C3%A7%C3%A3o,UFRPE tem nova pró-reitora de ensino de graduação,"A gestão superior da UFRPE manifesta profunda gratidão pelo trabalho desenvolvimento pela professora Socorro Lima ao longo do período em que atuou como pró-reitora de Ensino de Graduação, cargo do qual a docente solicitou desligamento para realização do seu estágio pós-doutoral. A UFRPE comunica que, a partir desta data, assume o cargo a professora Flávia Carolina Lins, vinculada ao Departamento de Biologia da UFRPE e ex-coordenadora do Curso de Licenciatura em Ciências Biológicas."
/br/content/gastronomia-promove-evento-sobre-h%C3%A1bitos-alimentares,Gastronomia promove evento sobre hábitos alimentares,"O curso de Bacharealdo em Gastronomia promove, no próximo dia 24/03, na cozinha show da gastronomia, o evento Comida para repensar, que terá como tema a alimentação saudável: repensando hábitos alimentares diários. O encontro está sendo organizado pela turma da disciplina "" Segurança alimentar e nutricional"" e orientado pela professora Emmanuela Azevedo e terá a participação da nutricionista Rafaella Mendonça e do gastrônomo Thiago Dantas."
/br/content/abertas-inscri%C3%A7%C3%B5es-para-sele%C3%A7%C3%A3o-de-bolsa-de-gradua%C3%A7%C3%A3o-para-estudantes-negroas,Abertas inscrições para seleção de bolsa de graduação para estudantes negro(a)s,"A UFRPE, por meio da Pró-Reitoria de Ensino de Graduação, divulga o Edital UFRPE n 14/2023  que visa à seleção de candidato(a)s negro(a)s  para bolsas de pernamência na graduação concedidas pelo Edital Caferrour 2022."
/br/content/ufrpe-comemora-dia-da-terra,UFRPE comemora Dia da Terra,"Em 22 de abril de 1970, cerca de 20 milhões de pessoas participaram da primeira celebração do Dia da Terra, dando grande força e visibilidade ao Movimento Ambientalista. As Nações Unidas, posteriormente, declararam esse dia para a comemoração do Dia Internacional da Mãe Terra, comemorações estas que tomaram o mundo e são realizadas anualmente, com destaque para alguns países como: Estados Unidos, Canadá e França."
/br/content/bolsas-de-inicia%C3%A7%C3%A3o-cient%C3%ADfica-da-ufrpe-t%C3%AAm-aumento-partir-de-abril-de-2023,Bolsas de iniciação científica da UFRPE têm aumento a partir de abril de 2023,
/br/content/professor-do-dm-ministrar%C3%A1-curso-na-it%C3%A1lia,Professor do DM ministrará curso na Itália,Professor do departamento de matemática ganha projeto de pesquisa europeu e vai dar curso no ICTP - Italia no programa de Pesquisa em Pares. O docente Rodrigo Gondim Neves ministrará curso sobre hessianas e as propriedades de Lefschetz nos dias 26 e 29 de junho.
/br/content/ufrpe-e-cprh-realizam-semin%C3%A1rio-apa-aldeia-beberibe-13-anos,UFRPE e CPRH realizam seminário APA Aldeia-Beberibe: 13 anos,
/br/content/campanha-ufrpe-lugar-de-mulher-refor%C3%A7a-canal-permanente-de-den%C3%BAncia-contra-viol%C3%AAncias,"Campanha UFRPE, Lugar de Mulher reforça canal permanente de denúncia contra violências","No dia 08 de março, na Roda de Conversa em comemoração ao Dia Internacional da Mulher, a UFRPE lançou a campanha “UFRPE, lugar de mulher”."
/br/content/ufrpe-e-unesp-realizam-articula%C3%A7%C3%A3o-pelo-planejamento-estrat%C3%A9gico-da-pg,UFRPE e Unesp realizam articulação pelo planejamento estratégico da PG,
/br/content/ii-semana-do-c%C3%A9rebro-de-pernambuco-movimenta-ufrpe-de-13-1703,II Semana do Cérebro de Pernambuco movimenta a UFRPE de 13 a 17/03,"Corpo são, mente sã e cérebro protagonista para conduzir todo o processo. A fim de tratar desse órgão fundamental e, ao mesmo tempo, cheio de possibilidades ainda a serem exploradas por estudos firmados e recentes, o Estado recebe a II Semana do Cérebro de Pernambuco. O evento, organizado pela UFRPE, com a participação de universidades e órgãos parceiros, ocorre entre os dias 13 e 17 de março no Campus Dois Irmãos."
